user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase,item_id
4943,5,oscar (best picture),neg,oscar (best picture),neg,True,classic,69.0
5002,1,aliens,neg,aliens,neg,True,sci-fi,22.0
5002,2,action,pos,action,pos,True,sci-fi,22.0
5002,3,robots,neg,robots,neg,True,sci-fi,22.0
5002,4,dvd,pos,dvd,pos,True,sci-fi,22.0
5002,5,future,neg,future,neg,True,sci-fi,22.0
1006,1,fantasy,neg,fantasy,neg,True,music,1002.0
1006,2,violent,neg,violent,neg,True,biography,1002.0
1006,3,drama,neg,drama,neg,True,music,1002.0
1006,4,oscar (best actor),neg,oscar (best actor),neg,True,music,1002.0
1006,5,biography,pos,biography,pos,True,music,1002.0
6346,1,drama,neg,drama,neg,True,steven spielberg,59.0
6346,2,interesting,neg,interesting,neg,True,harrison ford,59.0
6346,3,future,neg,future,neg,True,steven spielberg,59.0
6346,4,steven spielberg,pos,steven spielberg,pos,True,nazis,59.0
6346,5,sean connery,pos,sean connery,pos,True,nazis,59.0
2571,1,war,neg,war,neg,True,classic,69.0
2571,2,organized crime,neg,organized crime,neg,True,classic,69.0
2571,3,morgan freeman,neg,morgan freeman,neg,True,classic,69.0
2571,4,dvd,neg,dvd,neg,True,classic,69.0
2571,5,seen more than once,pos,seen more than once,pos,True,classic,69.0
1474,1,sean connery,neg,sean connery,neg,True,alfred hitchcock,166.0
1474,2,horror,neg,horror,neg,True,alfred hitchcock,166.0
1474,3,seen more than once,neg,seen more than once,neg,True,alfred hitchcock,166.0
1474,4,thriller,neg,thriller,neg,True,alfred hitchcock,166.0
1474,5,mystery,neg,mystery,neg,True,alfred hitchcock,166.0
4413,1,love,neg,love,neg,True,religion,155.0
4413,2,death,neg,death,neg,True,religion,155.0
4413,3,sad,neg,sad,neg,True,religion,155.0
4413,4,matt damon,neg,matt damon,neg,True,religion,155.0
4413,5,adventure,neg,adventure,neg,True,religion,155.0
1402,1,organized crime,neg,organized crime,neg,True,cult film,174.0
1402,2,musical,neg,musical,neg,True,cult film,174.0
1402,3,crime,neg,crime,neg,True,quirky,174.0
1402,4,love,neg,love,neg,True,quirky,174.0
1402,5,surreal,neg,surreal,neg,True,quirky,174.0
7935,1,film noir,neg,film noir,neg,True,comic book,10.0
7935,2,revenge,pos,revenge,pos,True,comic book,10.0
7935,3,terrorism,neg,terrorism,neg,True,comic book,10.0
7935,4,dark,neg,dark,neg,True,comic book,10.0
7935,5,dystopia,neg,dystopia,neg,True,comic book,10.0
5587,1,oscar (best picture),neg,oscar (best picture),neg,True,fantasy,81.0
5587,2,epic,pos,epic,pos,True,fantasy,81.0
5587,3,boring,pos,boring,pos,True,fantasy,81.0
5587,4,dvd,pos,dvd,pos,True,fantasy,81.0
5587,5,sequel,pos,sequel,pos,True,fantasy,81.0
7710,1,nonlinear,neg,nonlinear,neg,True,organized crime,311.0
7710,2,hilarious,neg,hilarious,neg,True,british,311.0
7710,3,racism,neg,racism,neg,True,violence,311.0
7710,4,psychology,neg,psychology,neg,True,violence,311.0
7710,5,mental illness,neg,mental illness,neg,True,violence,311.0
2746,1,girlie movie,neg,girlie movie,neg,True,paris,1225.0
2746,2,love,neg,love,neg,True,paris,1225.0
2746,3,new york city,neg,new york city,neg,True,paris,1225.0
2746,4,quirky,neg,quirky,neg,True,paris,1225.0
2746,5,based on a true story,neg,based on a true story,neg,True,paris,1225.0
1482,1,morgan freeman,neg,morgan freeman,neg,True,drama,49.0
1482,2,love,neg,love,neg,True,girlie movie,49.0
1482,3,cute,neg,cute,neg,True,chick flick,49.0
1482,4,bruce willis,neg,bruce willis,neg,True,ghosts,49.0
1482,5,drama,pos,drama,pos,True,chick flick,49.0
2892,1,intense,pos,intense,pos,True,japan,512.0
2892,2,historical,pos,historical,pos,True,japan,512.0
2892,3,romance,neg,romance,neg,True,japan,512.0
2892,4,overrated,neg,overrated,neg,True,japan,512.0
2892,5,police,neg,police,neg,True,japan,512.0
4019,1,war,pos,war,pos,True,classic,126.0
4019,2,organized crime,neg,organized crime,neg,True,classic,126.0
4019,3,morgan freeman,neg,morgan freeman,neg,True,classic,126.0
4019,4,dvd,pos,dvd,pos,True,classic,126.0
4019,5,seen more than once,neg,seen more than once,neg,True,classic,126.0
2928,1,future,neg,future,neg,True,space,64.0
2928,2,sequel,neg,sequel,neg,True,space,64.0
2928,3,robots,neg,robots,neg,True,space,64.0
2928,4,adventure,neg,adventure,neg,True,space,64.0
2928,5,action,neg,action,neg,True,space,64.0
199,1,africa,neg,africa,neg,True,drugs,407.0
199,2,intense,neg,intense,neg,True,drugs,407.0
199,3,violence,neg,violence,neg,True,drugs,407.0
199,4,based on a book,pos,based on a book,pos,True,drugs,407.0
199,5,great soundtrack,neg,great soundtrack,neg,True,drugs,407.0
2804,1,crime,pos,crime,pos,True,violence,91.0
2804,2,organized crime,pos,organized crime,pos,True,violence,91.0
2804,3,mafia,neg,mafia,neg,True,violence,91.0
2804,4,racism,neg,racism,neg,True,violence,91.0
2804,5,seen more than once,neg,seen more than once,neg,True,violence,91.0
5624,1,oscar (best picture),pos,oscar (best picture),pos,True,fantasy,112.0
5624,2,epic,pos,epic,pos,True,fantasy,112.0
5624,3,boring,pos,boring,pos,True,fantasy,112.0
5624,4,dvd,pos,dvd,pos,True,fantasy,112.0
5624,5,sequel,neg,sequel,neg,True,fantasy,112.0
6398,1,aliens,neg,aliens,neg,True,sci-fi,53.0
6398,2,sci-fi,neg,sci-fi,neg,True,seen more than once,53.0
6398,3,based on a book,neg,based on a book,neg,True,seen more than once,53.0
6398,4,fantasy,neg,fantasy,neg,True,seen more than once,53.0
6398,5,prison,neg,prison,neg,True,seen more than once,53.0
6780,1,future,neg,future,neg,True,space,64.0
6780,2,sequel,neg,sequel,neg,True,space,64.0
6780,3,robots,neg,robots,neg,True,space,64.0
6780,4,adventure,neg,adventure,neg,True,space,64.0
6780,5,action,neg,action,neg,True,space,64.0
658,1,post apocalyptic,neg,post apocalyptic,neg,True,martial arts,720.0
658,2,japan,neg,japan,neg,True,martial arts,720.0
658,3,dvd,pos,dvd,pos,True,martial arts,720.0
658,4,seen more than once,neg,seen more than once,neg,True,martial arts,720.0
658,5,action,pos,action,pos,True,martial arts,720.0
5595,1,war,neg,war,neg,True,classic,1821.0
5595,2,organized crime,neg,organized crime,neg,True,classic,1821.0
5595,3,morgan freeman,neg,morgan freeman,neg,True,classic,1821.0
5595,4,dvd,neg,dvd,neg,True,classic,1821.0
5595,5,seen more than once,neg,seen more than once,neg,True,classic,1821.0
837,1,nudity (topless - brief),pos,nudity (topless - brief),pos,True,zombies,1009.0
837,2,cult film,neg,cult film,neg,True,zombies,1009.0
837,3,sequel,neg,sequel,neg,True,zombies,1009.0
837,4,spoof,neg,spoof,neg,True,zombies,1009.0
837,5,shakespeare,neg,shakespeare,neg,True,zombies,1009.0
6831,1,drama,neg,drama,neg,True,twist ending,18.0
6831,2,suspense,pos,suspense,pos,True,twist ending,18.0
6831,3,nonlinear,neg,nonlinear,neg,True,twist ending,18.0
6831,4,mystery,neg,mystery,neg,True,twist ending,18.0
6831,5,interesting,neg,interesting,neg,True,twist ending,18.0
6911,1,sequel,neg,sequel,neg,True,robots,7.0
6911,2,arnold schwarzenegger,pos,arnold schwarzenegger,pos,True,robots,7.0
6911,3,post apocalyptic,neg,post apocalyptic,neg,True,time travel,7.0
6911,4,dystopia,pos,dystopia,pos,True,robots,7.0
6911,5,harrison ford,neg,harrison ford,neg,True,robots,7.0
617,1,africa,neg,africa,neg,True,drugs,709.0
617,2,intense,neg,intense,neg,True,drugs,709.0
617,3,violence,neg,violence,neg,True,drugs,709.0
617,4,jim carrey,neg,jim carrey,neg,True,quirky,709.0
617,5,johnny depp,neg,johnny depp,neg,True,drugs,709.0
2273,1,coming of age,pos,coming of age,pos,True,romance,1036.0
2273,2,morgan freeman,neg,morgan freeman,neg,True,drama,1036.0
2273,3,chick flick,neg,chick flick,neg,True,romance,1036.0
2273,4,tom hanks,neg,tom hanks,neg,True,drama,1036.0
2273,5,mel gibson,neg,mel gibson,neg,True,drama,1036.0
3777,1,war,pos,war,pos,True,classic,105.0
3777,2,organized crime,neg,organized crime,neg,True,classic,105.0
3777,3,morgan freeman,neg,morgan freeman,neg,True,classic,105.0
3777,4,dvd,neg,dvd,neg,True,classic,105.0
3777,5,seen more than once,neg,seen more than once,neg,True,classic,105.0
5053,1,lesbian,neg,lesbian,neg,True,teen,148.0
5053,2,seen more than once,pos,seen more than once,pos,True,teen,148.0
5053,3,robin williams,neg,robin williams,neg,True,teen,148.0
5053,4,time travel,neg,time travel,neg,True,teen,148.0
5053,5,drama,pos,drama,pos,True,teen,148.0
6472,1,aliens,neg,aliens,neg,True,sci-fi,8.0
6472,2,action,pos,action,pos,True,sci-fi,8.0
6472,3,robots,pos,robots,pos,True,sci-fi,8.0
6472,4,dvd,pos,dvd,pos,True,sci-fi,8.0
6472,5,future,neg,future,neg,True,sci-fi,8.0
7562,1,war,neg,war,neg,True,classic,104.0
7562,2,organized crime,neg,organized crime,neg,True,classic,104.0
7562,3,morgan freeman,neg,morgan freeman,neg,True,classic,104.0
7562,4,dvd,neg,dvd,neg,True,classic,104.0
7562,5,seen more than once,neg,seen more than once,neg,True,classic,104.0
4788,1,martial arts,neg,martial arts,neg,True,heist,163.0
4788,2,remake,pos,remake,pos,True,heist,163.0
4788,3,london,neg,london,neg,True,heist,163.0
4788,4,based on a true story,neg,based on a true story,neg,True,heist,163.0
4788,5,fun,neg,fun,neg,True,heist,163.0
1106,1,war,neg,war,neg,True,classic,409.0
1106,2,organized crime,neg,organized crime,neg,True,classic,409.0
1106,3,morgan freeman,neg,morgan freeman,neg,True,classic,409.0
1106,4,dvd,neg,dvd,neg,True,classic,409.0
1106,5,seen more than once,neg,seen more than once,neg,True,classic,409.0
1692,1,aliens,pos,aliens,pos,True,sci-fi,100.0
1692,2,action,neg,action,neg,True,sci-fi,100.0
1692,3,robots,neg,robots,neg,True,sci-fi,100.0
1692,4,dvd,pos,dvd,pos,True,sci-fi,100.0
1692,5,future,pos,future,pos,True,sci-fi,100.0
6187,1,sci-fi,neg,sci-fi,neg,True,seen more than once,215.0
6187,2,overrated,pos,overrated,pos,True,seen more than once,215.0
6187,3,drama,neg,drama,neg,True,seen more than once,215.0
6187,4,classic,neg,classic,neg,True,seen more than once,215.0
6187,5,surreal,neg,surreal,neg,True,seen more than once,215.0
5307,1,spoof,neg,spoof,neg,True,super-hero,254.0
5307,2,action,pos,action,pos,True,super-hero,254.0
5307,3,new york,neg,new york,neg,True,super-hero,254.0
5307,4,sequel,neg,sequel,neg,True,super-hero,254.0
5307,5,dvd,pos,dvd,pos,True,super-hero,254.0
7039,1,interesting,neg,interesting,neg,True,harrison ford,6.0
7039,2,action,pos,action,pos,True,harrison ford,6.0
7039,3,sequel,neg,sequel,neg,True,harrison ford,6.0
7039,4,great soundtrack,neg,great soundtrack,neg,True,harrison ford,6.0
7039,5,steven spielberg,neg,steven spielberg,neg,True,harrison ford,6.0
1745,1,intense,neg,intense,neg,True,surreal,86.0
1745,2,quirky,pos,quirky,pos,True,surreal,86.0
1745,3,dystopia,neg,dystopia,neg,True,surreal,86.0
1745,4,sci-fi,neg,sci-fi,neg,True,surreal,86.0
1745,5,romance,neg,romance,neg,True,surreal,86.0
4520,1,action,neg,action,neg,True,anime,477.0
4520,2,fantasy,pos,fantasy,pos,True,anime,477.0
4520,3,animation,neg,animation,neg,True,anime,477.0
4520,4,beautiful,pos,beautiful,pos,True,anime,477.0
4520,5,cute,neg,cute,neg,True,anime,477.0
3096,1,aliens,neg,aliens,neg,True,sci-fi,70.0
3096,2,action,neg,action,neg,True,sci-fi,70.0
3096,3,robots,pos,robots,pos,True,sci-fi,70.0
3096,4,dvd,neg,dvd,neg,True,sci-fi,70.0
3096,5,future,pos,future,pos,True,sci-fi,70.0
4937,1,organized crime,neg,organized crime,neg,True,dark comedy,188.0
4937,2,samuel l jackson,neg,samuel l jackson,neg,True,dark comedy,188.0
4937,3,dvd,pos,dvd,pos,True,dark comedy,188.0
4937,4,classic,pos,classic,pos,True,dark comedy,188.0
4937,5,interesting,neg,interesting,neg,True,dark comedy,188.0
5376,1,spoof,neg,spoof,neg,True,super-hero,156.0
5376,2,action,pos,action,pos,True,super-hero,156.0
5376,3,new york,pos,new york,pos,True,super-hero,156.0
5376,4,sequel,pos,sequel,pos,True,super-hero,156.0
5376,5,dvd,neg,dvd,neg,True,super-hero,156.0
6300,1,nonlinear,neg,nonlinear,neg,True,organized crime,518.0
6300,2,crime,neg,crime,neg,True,violence,518.0
6300,3,classic,neg,classic,neg,True,organized crime,518.0
6300,4,organized crime,pos,organized crime,pos,True,violence,518.0
6300,5,brad pitt,neg,brad pitt,neg,True,violence,518.0
133,1,sequel,neg,sequel,neg,True,los angeles,242.0
133,2,new york city,neg,new york city,neg,True,los angeles,242.0
133,3,satire,neg,satire,neg,True,los angeles,242.0
133,4,classic,pos,classic,pos,True,los angeles,242.0
133,5,based on a book,neg,based on a book,neg,True,los angeles,242.0
6914,1,nudity (topless - brief),neg,nudity (topless - brief),neg,True,musical,147.0
6914,2,murder,neg,murder,neg,True,musical,147.0
6914,3,violent,neg,violent,neg,True,musical,147.0
6914,4,drama,neg,drama,neg,True,music,147.0
6914,5,cult film,neg,cult film,neg,True,musical,147.0
1604,1,post apocalyptic,neg,post apocalyptic,neg,True,martial arts,99.0
1604,2,japan,pos,japan,pos,True,martial arts,99.0
1604,3,dvd,neg,dvd,neg,True,martial arts,99.0
1604,4,seen more than once,pos,seen more than once,pos,True,martial arts,99.0
1604,5,action,pos,action,pos,True,martial arts,99.0
1830,1,spoof,neg,spoof,neg,True,super-hero,156.0
1830,2,action,pos,action,pos,True,super-hero,156.0
1830,3,new york,pos,new york,pos,True,super-hero,156.0
1830,4,sequel,pos,sequel,pos,True,super-hero,156.0
1830,5,dvd,neg,dvd,neg,True,super-hero,156.0
2155,1,aliens,neg,aliens,neg,True,sci-fi,70.0
2155,2,action,neg,action,neg,True,sci-fi,70.0
2155,3,robots,pos,robots,pos,True,sci-fi,70.0
2155,4,dvd,neg,dvd,neg,True,sci-fi,70.0
2155,5,future,pos,future,pos,True,sci-fi,70.0
2614,1,film noir,neg,film noir,neg,True,comic book,10.0
2614,2,revenge,pos,revenge,pos,True,comic book,10.0
2614,3,terrorism,neg,terrorism,neg,True,comic book,10.0
2614,4,dark,neg,dark,neg,True,comic book,10.0
2614,5,dystopia,neg,dystopia,neg,True,comic book,10.0
5106,1,nazis,neg,nazis,neg,True,prison,53.0
5106,2,classic,neg,classic,neg,True,prison,53.0
5106,3,drama,neg,drama,neg,True,seen more than once,53.0
5106,4,overrated,neg,overrated,neg,True,seen more than once,53.0
5106,5,fantasy,neg,fantasy,neg,True,seen more than once,53.0
3144,1,crime,neg,crime,neg,True,violence,56.0
3144,2,organized crime,neg,organized crime,neg,True,violence,56.0
3144,3,mafia,neg,mafia,neg,True,violence,56.0
3144,4,racism,neg,racism,neg,True,violence,56.0
3144,5,seen more than once,pos,seen more than once,pos,True,violence,56.0
2135,1,drama,pos,drama,pos,True,africa,1513.0
2135,2,depressing,neg,depressing,neg,True,africa,1513.0
2135,3,true story,neg,true story,neg,True,africa,1513.0
2135,4,violent,neg,violent,neg,True,africa,1513.0
2135,5,london,neg,london,neg,True,africa,1513.0
7996,1,aliens,neg,aliens,neg,True,sci-fi,248.0
7996,2,dvd,neg,dvd,neg,True,action,248.0
7996,3,dark,neg,dark,neg,True,action,248.0
7996,4,superhero,neg,superhero,neg,True,action,248.0
7996,5,comic book,neg,comic book,neg,True,action,248.0
2454,1,classic,neg,classic,neg,True,martin scorsese,758.0
2454,2,murder,neg,murder,neg,True,martin scorsese,758.0
2454,3,violent,neg,violent,neg,True,martin scorsese,758.0
2454,4,violence,neg,violence,neg,True,martin scorsese,758.0
2454,5,police,neg,police,neg,True,martin scorsese,758.0
3828,1,drama,neg,drama,neg,True,steven spielberg,3.0
3828,2,tom cruise,neg,tom cruise,neg,True,steven spielberg,3.0
3828,3,harrison ford,neg,harrison ford,neg,True,steven spielberg,3.0
3828,4,true story,neg,true story,neg,True,steven spielberg,3.0
3828,5,dvd,neg,dvd,neg,True,steven spielberg,3.0
1607,1,war,neg,war,neg,True,classic,275.0
1607,2,organized crime,neg,organized crime,neg,True,classic,275.0
1607,3,morgan freeman,neg,morgan freeman,neg,True,classic,275.0
1607,4,dvd,neg,dvd,neg,True,classic,275.0
1607,5,seen more than once,pos,seen more than once,pos,True,classic,275.0
2202,1,love,neg,love,neg,True,religion,233.0
2202,2,death,neg,death,neg,True,religion,233.0
2202,3,sad,neg,sad,neg,True,religion,233.0
2202,4,matt damon,pos,matt damon,pos,True,religion,233.0
2202,5,adventure,pos,adventure,pos,True,religion,233.0
3424,1,nazis,neg,nazis,neg,True,prison,4.0
3424,2,classic,pos,classic,pos,True,prison,4.0
3424,3,revenge,pos,revenge,pos,True,prison,4.0
3424,4,seen more than once,pos,seen more than once,pos,True,prison,4.0
3424,5,drama,pos,drama,pos,True,prison,4.0
6893,1,comedy,neg,comedy,neg,True,england,1821.0
6893,2,007,neg,007,neg,True,england,1821.0
6893,3,spoof,neg,spoof,neg,True,england,1821.0
6893,4,based on a book,neg,based on a book,neg,True,classic,1821.0
6893,5,james bond,neg,james bond,neg,True,england,1821.0
5543,1,war,neg,war,neg,True,classic,67.0
5543,2,organized crime,neg,organized crime,neg,True,classic,67.0
5543,3,morgan freeman,neg,morgan freeman,neg,True,classic,67.0
5543,4,dvd,neg,dvd,neg,True,classic,67.0
5543,5,seen more than once,pos,seen more than once,pos,True,classic,67.0
2987,1,martin scorsese,neg,martin scorsese,neg,True,beautiful,149.0
2987,2,mental illness,neg,mental illness,neg,True,beautiful,149.0
2987,3,london,neg,london,neg,True,musical,149.0
2987,4,family,neg,family,neg,True,musical,149.0
2987,5,cannibalism,neg,cannibalism,neg,True,musical,149.0
6253,1,sci-fi,neg,sci-fi,neg,True,seen more than once,162.0
6253,2,overrated,neg,overrated,neg,True,seen more than once,162.0
6253,3,drama,neg,drama,neg,True,seen more than once,162.0
6253,4,classic,neg,classic,neg,True,seen more than once,162.0
6253,5,surreal,neg,surreal,neg,True,seen more than once,162.0
5604,1,sequel,neg,sequel,neg,True,robots,7.0
5604,2,arnold schwarzenegger,pos,arnold schwarzenegger,pos,True,robots,7.0
5604,3,harrison ford,neg,harrison ford,neg,True,robots,7.0
5604,4,dystopia,pos,dystopia,pos,True,robots,7.0
5604,5,time travel,pos,time travel,pos,True,robots,7.0
2642,1,dvd,neg,dvd,neg,True,quirky,387.0
2642,2,dark comedy,neg,dark comedy,neg,True,quirky,387.0
2642,3,seen more than once,pos,seen more than once,pos,True,quirky,387.0
2642,4,crime,neg,crime,neg,True,quirky,387.0
2642,5,memory,neg,memory,neg,True,quirky,387.0
132,1,lesbian,neg,lesbian,neg,True,teen,148.0
132,2,seen more than once,pos,seen more than once,pos,True,teen,148.0
132,3,robin williams,neg,robin williams,neg,True,teen,148.0
132,4,time travel,neg,time travel,neg,True,teen,148.0
132,5,drama,pos,drama,pos,True,teen,148.0
7373,1,satire,neg,satire,neg,True,animation,176.0
7373,2,family,neg,family,neg,True,animation,176.0
7373,3,comedy,neg,comedy,neg,True,animation,176.0
7373,4,fun,neg,fun,neg,True,animation,176.0
7373,5,seen more than once,neg,seen more than once,neg,True,animation,176.0
118,1,war,neg,war,neg,True,classic,104.0
118,2,organized crime,neg,organized crime,neg,True,classic,104.0
118,3,morgan freeman,neg,morgan freeman,neg,True,classic,104.0
118,4,dvd,neg,dvd,neg,True,classic,104.0
118,5,seen more than once,neg,seen more than once,neg,True,classic,104.0
1332,1,england,neg,england,neg,True,parody,94.0
1332,2,comedy,neg,comedy,neg,True,parody,94.0
1332,3,underrated,neg,underrated,neg,True,parody,94.0
1332,4,funny,neg,funny,neg,True,parody,94.0
1332,5,cute,pos,cute,pos,True,parody,94.0
426,1,time travel,neg,time travel,neg,True,tom cruise,622.0
426,2,espionage,neg,espionage,neg,True,tom cruise,622.0
426,3,action,neg,action,neg,True,tom cruise,622.0
426,4,dvd,pos,dvd,pos,True,tom cruise,622.0
426,5,cars,neg,cars,neg,True,remake,622.0
874,1,love,neg,love,neg,True,girlie movie,1200.0
874,2,new york city,neg,new york city,neg,True,girlie movie,1200.0
874,3,mental illness,pos,mental illness,pos,True,girlie movie,1200.0
874,4,intense,neg,intense,neg,True,girlie movie,1200.0
874,5,fun,neg,fun,neg,True,girlie movie,1200.0
4049,1,time travel,neg,time travel,neg,True,tom cruise,622.0
4049,2,espionage,neg,espionage,neg,True,tom cruise,622.0
4049,3,tom cruise,pos,tom cruise,pos,True,remake,622.0
4049,4,mafia,neg,mafia,neg,True,remake,622.0
4049,5,heist,neg,heist,neg,True,remake,622.0
3006,1,true story,neg,true story,neg,True,oscar (best picture),222.0
3006,2,mental illness,neg,mental illness,neg,True,oscar (best picture),222.0
3006,3,world war ii,neg,world war ii,neg,True,oscar (best picture),222.0
3006,4,organized crime,neg,organized crime,neg,True,oscar (best picture),222.0
3006,5,dvd,neg,dvd,neg,True,oscar (best picture),222.0
4495,1,sci-fi,neg,sci-fi,neg,True,seen more than once,215.0
4495,2,overrated,pos,overrated,pos,True,seen more than once,215.0
4495,3,drama,neg,drama,neg,True,seen more than once,215.0
4495,4,classic,neg,classic,neg,True,seen more than once,215.0
4495,5,surreal,neg,surreal,neg,True,seen more than once,215.0
3271,1,children,neg,children,neg,True,johnny depp,157.0
3271,2,horror,neg,horror,neg,True,johnny depp,157.0
3271,3,predictable,pos,predictable,pos,True,johnny depp,157.0
3271,4,beautiful,neg,beautiful,neg,True,johnny depp,157.0
3271,5,suspense,pos,suspense,pos,True,johnny depp,157.0
3940,1,nudity (topless),neg,nudity (topless),neg,True,lesbian,255.0
3940,2,dvd,pos,dvd,pos,True,gay,255.0
3940,3,beautiful,neg,beautiful,neg,True,gay,255.0
3940,4,lesbian,pos,lesbian,pos,True,gay,255.0
3940,5,sad,neg,sad,neg,True,gay,255.0
702,1,war,neg,war,neg,True,action,1037.0
702,2,dvd,neg,dvd,neg,True,action,1037.0
702,3,aliens,pos,aliens,pos,True,action,1037.0
702,4,superhero,neg,superhero,neg,True,action,1037.0
702,5,dark,neg,dark,neg,True,action,1037.0
7487,1,aliens,neg,aliens,neg,True,sci-fi,8.0
7487,2,action,pos,action,pos,True,sci-fi,8.0
7487,3,robots,pos,robots,pos,True,sci-fi,8.0
