user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
1873,1,fruit,neg,fruit,neg,True,breakfast
1873,2,avocado,neg,avocado,neg,True,breakfast
1873,3,egg,neg,egg,neg,True,breakfast
1873,4,wait,pos,wait,pos,True,breakfast
1873,5,bacon,neg,bacon,neg,True,breakfast
2168,1,busy,pos,busy,pos,True,thai
2168,2,yummy,pos,yummy,pos,True,thai
2168,3,curry,pos,curry,pos,True,thai
2168,4,spicy,pos,spicy,pos,True,thai
2168,5,casual,pos,casual,pos,True,thai
2216,1,busy,neg,busy,neg,True,thai
2216,2,yummy,neg,yummy,neg,True,thai
2216,3,curry,neg,curry,neg,True,thai
2216,4,spicy,neg,spicy,neg,True,thai
2216,5,casual,neg,casual,neg,True,thai
5541,1,spicy,pos,spicy,pos,True,pork
5541,2,sausage,neg,sausage,neg,True,fry
5541,3,burger,neg,burger,neg,True,fry
5541,4,pork,pos,pork,pos,True,fry
5541,5,pork belly,pos,pork belly,pos,True,fry
1428,1,busy,neg,busy,neg,True,thai
1428,2,yummy,neg,yummy,neg,True,thai
1428,3,curry,neg,curry,neg,True,thai
1428,4,quick,neg,quick,neg,True,taco
1428,5,market,neg,market,neg,True,taco
2456,1,scallop,pos,scallop,pos,True,sushi
2456,2,modern,pos,modern,pos,True,sushi
2456,3,sashimi,pos,sashimi,pos,True,sushi
2456,4,expensive,pos,expensive,pos,True,sushi
2456,5,pricey,pos,pricey,pos,True,sushi
1431,1,bun,pos,bun,pos,True,fry
1431,2,sausage,neg,sausage,neg,True,fry
1431,3,kimchi,pos,kimchi,pos,True,fry
1431,4,noodle,neg,noodle,neg,True,pork
1431,5,belly,pos,belly,pos,True,pork
540,1,bubble tea,pos,bubble tea,pos,True,tea
540,2,gelato,neg,gelato,neg,True,tea
540,3,milk,pos,milk,pos,True,tea
540,4,asian,neg,asian,neg,True,tea
540,5,bubble,pos,bubble,pos,True,tea
57,1,chip,pos,chip,pos,True,taco
57,2,sour,pos,sour,pos,True,taco
57,3,mexican,pos,mexican,pos,True,taco
57,4,tuna,pos,tuna,pos,True,taco
57,5,octopus,neg,octopus,neg,True,taco
3789,1,busy,neg,busy,neg,True,thai
3789,2,yummy,neg,yummy,neg,True,thai
3789,3,curry,neg,curry,neg,True,thai
3789,4,spicy,neg,spicy,neg,True,thai
3789,5,casual,neg,casual,neg,True,thai
1192,1,sashimi,neg,sashimi,neg,True,oyster
1192,2,calamari,pos,calamari,pos,True,oyster
1192,3,seafood,pos,seafood,pos,True,oyster
1192,4,birthday,neg,birthday,neg,True,oyster
1192,5,shrimp,neg,shrimp,neg,True,oyster
1062,1,curry,neg,curry,neg,True,chicken
1062,2,pork,pos,pork,pos,True,chicken
1062,3,fried,pos,fried,pos,True,chicken
1062,4,wait,pos,wait,pos,True,chicken
1062,5,crispy,pos,crispy,pos,True,chicken
944,1,busy,neg,busy,neg,True,thai
944,2,yummy,neg,yummy,neg,True,thai
944,3,curry,pos,curry,pos,True,thai
944,4,thai,pos,thai,pos,True,wait
944,5,fish,neg,fish,neg,True,taco
4138,1,chip,neg,chip,neg,True,taco
4138,2,sour,neg,sour,neg,True,taco
4138,3,mexican,pos,mexican,pos,True,taco
4138,4,tuna,pos,tuna,pos,True,taco
4138,5,octopus,pos,octopus,pos,True,taco
1957,1,curry,neg,curry,neg,True,chicken
1957,2,pork,pos,pork,pos,True,chicken
1957,3,fried,pos,fried,pos,True,chicken
1957,4,wait,pos,wait,pos,True,chicken
1957,5,crispy,pos,crispy,pos,True,chicken
313,1,japanese,neg,japanese,neg,True,crepe
313,2,cake,neg,cake,neg,True,crepe
313,3,strawberry,neg,strawberry,neg,True,crepe
313,4,dessert,neg,dessert,neg,True,crepe
313,5,banana,neg,banana,neg,True,crepe
2679,1,busy,neg,busy,neg,True,thai
2679,2,yummy,neg,yummy,neg,True,thai
2679,3,curry,neg,curry,neg,True,thai
2679,4,spicy,pos,spicy,pos,True,thai
2679,5,fresh,pos,fresh,pos,True,salmon
1203,1,busy,pos,busy,pos,True,thai
1203,2,yummy,pos,yummy,pos,True,thai
1203,3,curry,pos,curry,pos,True,thai
1203,4,spicy,pos,spicy,pos,True,thai
1203,5,casual,pos,casual,pos,True,thai
1349,1,tart,neg,tart,neg,True,cheese
1349,2,pizza,neg,pizza,neg,True,cheese
1349,3,cheesecake,neg,cheesecake,neg,True,cheese
1349,4,meat,neg,meat,neg,True,cheese
1349,5,cake,neg,cake,neg,True,cheese
6089,1,creamy,pos,creamy,pos,True,ice cream
6089,2,green tea,neg,green tea,neg,True,ice cream
6089,3,cone,pos,cone,pos,True,ice cream
6089,4,tea,pos,tea,pos,True,ice cream
6089,5,matcha,neg,matcha,neg,True,ice cream
398,1,scallop,neg,scallop,neg,True,sushi
398,2,modern,neg,modern,neg,True,sushi
398,3,sashimi,pos,sashimi,pos,True,sushi
398,4,expensive,neg,expensive,neg,True,sushi
398,5,pricey,neg,pricey,neg,True,sushi
214,1,crispy,neg,crispy,neg,True,cocktail
214,2,roasted,neg,roasted,neg,True,cocktail
214,3,bar,pos,bar,pos,True,cocktail
214,4,rib,neg,rib,neg,True,cocktail
214,5,octopus,neg,octopus,neg,True,cocktail
589,1,quick,neg,quick,neg,True,noodle
589,2,beef,pos,beef,pos,True,noodle
589,3,soup,pos,soup,pos,True,noodle
589,4,wait,neg,wait,neg,True,noodle
589,5,pork,pos,pork,pos,True,noodle
2620,1,cocktail,pos,cocktail,pos,True,lamb
2620,2,rib,pos,rib,pos,True,lamb
2620,3,roasted,pos,roasted,pos,True,lamb
2620,4,bread,pos,bread,pos,True,lamb
2620,5,crispy,pos,crispy,pos,True,lamb
2320,1,busy,pos,busy,pos,True,thai
2320,2,yummy,neg,yummy,neg,True,thai
2320,3,curry,neg,curry,neg,True,thai
2320,4,spicy,pos,spicy,pos,True,thai
2320,5,casual,neg,casual,neg,True,thai
1033,1,croissant,neg,croissant,neg,True,tart
1033,2,matcha,pos,matcha,pos,True,tart
1033,3,lemon,neg,lemon,neg,True,tart
1033,4,cheesecake,pos,cheesecake,pos,True,tart
1033,5,cheese,pos,cheese,pos,True,tart
184,1,sashimi,pos,sashimi,pos,True,oyster
184,2,calamari,neg,calamari,neg,True,oyster
184,3,seafood,neg,seafood,neg,True,oyster
184,4,birthday,neg,birthday,neg,True,oyster
184,5,shrimp,pos,shrimp,pos,True,oyster
358,1,scallop,neg,scallop,neg,True,salmon
358,2,expensive,neg,expensive,neg,True,salmon
358,3,sashimi,pos,sashimi,pos,True,salmon
358,4,modern,neg,modern,neg,True,salmon
358,5,pricey,neg,pricey,neg,True,salmon
6681,1,calamari,neg,calamari,neg,True,pizza
6681,2,wine,neg,wine,neg,True,pizza
6681,3,crust,pos,crust,pos,True,pizza
6681,4,salad,neg,salad,neg,True,pizza
6681,5,italian,neg,italian,neg,True,pizza
2298,1,quick,neg,quick,neg,True,noodle
2298,2,beef,pos,beef,pos,True,noodle
2298,3,soup,pos,soup,pos,True,noodle
2298,4,wait,pos,wait,pos,True,noodle
2298,5,pork,pos,pork,pos,True,noodle
19,1,chinese,pos,chinese,pos,True,lobster
19,2,steamed,pos,steamed,pos,True,lobster
19,3,seafood,pos,seafood,pos,True,lobster
19,4,dinner,pos,dinner,pos,True,lobster
19,5,fried,pos,fried,pos,True,lobster
1402,1,pancake,neg,pancake,neg,True,dumpling
1402,2,soup,pos,soup,pos,True,dumpling
1402,3,steamed,pos,steamed,pos,True,dumpling
1402,4,dim sum,neg,dim sum,neg,True,dumpling
1402,5,pork,pos,pork,pos,True,dumpling
1803,1,wing,pos,wing,pos,True,rib
1803,2,dinner,pos,dinner,pos,True,rib
1803,3,bbq,pos,bbq,pos,True,rib
1803,4,potato,neg,potato,neg,True,rib
1803,5,fried chicken,neg,fried chicken,neg,True,rib
1933,1,scallop,neg,scallop,neg,True,sushi
1933,2,modern,neg,modern,neg,True,sushi
1933,3,sashimi,pos,sashimi,pos,True,sushi
1933,4,expensive,neg,expensive,neg,True,sushi
1933,5,pricey,neg,pricey,neg,True,sushi
2524,1,busy,pos,busy,pos,True,thai
2524,2,yummy,neg,yummy,neg,True,thai
2524,3,curry,neg,curry,neg,True,thai
2524,4,spicy,neg,spicy,neg,True,thai
2524,5,casual,neg,casual,neg,True,thai
5506,1,busy,neg,busy,neg,True,thai
5506,2,yummy,neg,yummy,neg,True,thai
5506,3,curry,neg,curry,neg,True,thai
5506,4,spicy,neg,spicy,neg,True,thai
5506,5,casual,neg,casual,neg,True,thai
6477,1,scallop,neg,scallop,neg,True,sushi
6477,2,modern,neg,modern,neg,True,sushi
6477,3,sashimi,pos,sashimi,pos,True,sushi
6477,4,expensive,neg,expensive,neg,True,sushi
6477,5,pricey,neg,pricey,neg,True,sushi
257,1,quick,neg,quick,neg,True,noodle
257,2,beef,pos,beef,pos,True,noodle
257,3,soup,pos,soup,pos,True,noodle
257,4,wait,pos,wait,pos,True,noodle
257,5,pork,pos,pork,pos,True,noodle
890,1,cocktail,pos,cocktail,pos,True,lamb
890,2,rib,pos,rib,pos,True,lamb
890,3,roasted,pos,roasted,pos,True,lamb
890,4,bread,pos,bread,pos,True,lamb
890,5,crispy,pos,crispy,pos,True,lamb
5751,1,busy,neg,busy,neg,True,thai
5751,2,yummy,neg,yummy,neg,True,thai
5751,3,curry,neg,curry,neg,True,thai
5751,4,spicy,neg,spicy,neg,True,thai
5751,5,casual,neg,casual,neg,True,thai
3565,1,busy,neg,busy,neg,True,thai
3565,2,yummy,neg,yummy,neg,True,thai
3565,3,curry,neg,curry,neg,True,thai
3565,4,spicy,neg,spicy,neg,True,thai
3565,5,casual,neg,casual,neg,True,thai
769,1,bubble tea,pos,bubble tea,pos,True,tea
769,2,gelato,neg,gelato,neg,True,tea
769,3,milk,pos,milk,pos,True,tea
769,4,asian,neg,asian,neg,True,tea
769,5,bubble,pos,bubble,pos,True,tea
2256,1,busy,pos,busy,pos,True,thai
2256,2,yummy,pos,yummy,pos,True,thai
2256,3,curry,pos,curry,pos,True,thai
2256,4,spicy,pos,spicy,pos,True,thai
2256,5,casual,pos,casual,pos,True,thai
106,1,spicy,neg,spicy,neg,True,pork
106,2,kimchi,neg,kimchi,neg,True,pork
106,3,pork belly,neg,pork belly,neg,True,pork
106,4,meat,pos,meat,pos,True,pork
106,5,noodle,neg,noodle,neg,True,pork
716,1,egg,pos,egg,pos,True,pancake
716,2,wait,pos,wait,pos,True,pancake
716,3,fluffy,pos,fluffy,pos,True,pancake
716,4,dumpling,neg,dumpling,neg,True,pancake
716,5,croissant,pos,croissant,pos,True,pancake
6858,1,spicy,pos,spicy,pos,True,ramen
6858,2,egg,pos,egg,pos,True,ramen
6858,3,noodle,pos,noodle,pos,True,ramen
6858,4,soup,pos,soup,pos,True,ramen
6858,5,salt,pos,salt,pos,True,ramen
673,1,creamy,pos,creamy,pos,True,ice cream
673,2,green tea,neg,green tea,neg,True,ice cream
673,3,cone,pos,cone,pos,True,ice cream
673,4,tea,pos,tea,pos,True,ice cream
673,5,matcha,neg,matcha,neg,True,ice cream
2019,1,sashimi,pos,sashimi,pos,True,oyster
2019,2,calamari,neg,calamari,neg,True,oyster
2019,3,seafood,neg,seafood,neg,True,oyster
2019,4,birthday,neg,birthday,neg,True,oyster
2019,5,shrimp,pos,shrimp,pos,True,oyster
6784,1,busy,neg,busy,neg,True,thai
6784,2,yummy,neg,yummy,neg,True,thai
6784,3,curry,pos,curry,pos,True,thai
6784,4,spicy,neg,spicy,neg,True,thai
6784,5,casual,neg,casual,neg,True,thai
97,1,bread,pos,bread,pos,True,pasta
97,2,olive,neg,olive,neg,True,pasta
97,3,italian,pos,italian,pos,True,pasta
97,4,salad,neg,salad,neg,True,pasta
97,5,tomato,neg,tomato,neg,True,pasta
3099,1,busy,neg,busy,neg,True,thai
3099,2,yummy,neg,yummy,neg,True,thai
3099,3,curry,neg,curry,neg,True,thai
3099,4,spicy,neg,spicy,neg,True,thai
3099,5,casual,neg,casual,neg,True,thai
1560,1,busy,neg,busy,neg,True,thai
1560,2,yummy,neg,yummy,neg,True,thai
1560,3,curry,neg,curry,neg,True,thai
1560,4,spicy,neg,spicy,neg,True,thai
1560,5,casual,neg,casual,neg,True,thai
328,1,bun,pos,bun,pos,True,fry
328,2,sausage,neg,sausage,neg,True,fry
328,3,kimchi,pos,kimchi,pos,True,fry
328,4,belly,pos,belly,pos,True,fry
328,5,pork belly,pos,pork belly,pos,True,fry
5163,1,busy,pos,busy,pos,True,thai
5163,2,yummy,neg,yummy,neg,True,thai
5163,3,curry,neg,curry,neg,True,thai
5163,4,spicy,pos,spicy,pos,True,thai
5163,5,casual,neg,casual,neg,True,thai
2957,1,busy,pos,busy,pos,True,thai
2957,2,yummy,neg,yummy,neg,True,thai
2957,3,curry,neg,curry,neg,True,thai
2957,4,spicy,neg,spicy,neg,True,thai
2957,5,casual,neg,casual,neg,True,thai
3564,1,busy,neg,busy,neg,True,thai
3564,2,yummy,neg,yummy,neg,True,thai
3564,3,curry,neg,curry,neg,True,thai
3564,4,spicy,neg,spicy,neg,True,thai
3564,5,casual,neg,casual,neg,True,thai
3468,1,busy,pos,busy,pos,True,thai
3468,2,yummy,pos,yummy,pos,True,thai
3468,3,curry,pos,curry,pos,True,thai
3468,4,spicy,pos,spicy,pos,True,thai
3468,5,casual,pos,casual,pos,True,thai
223,1,bubble tea,neg,bubble tea,neg,True,tea
223,2,gelato,neg,gelato,neg,True,tea
223,3,milk,pos,milk,pos,True,tea
223,4,asian,neg,asian,neg,True,tea
223,5,bubble,neg,bubble,neg,True,tea
2468,1,busy,neg,busy,neg,True,thai
2468,2,yummy,neg,yummy,neg,True,thai
2468,3,curry,neg,curry,neg,True,thai
2468,4,spicy,neg,spicy,neg,True,thai
2468,5,casual,neg,casual,neg,True,thai
33,1,mexican,neg,mexican,neg,True,corn
33,2,deep fried,pos,deep fried,pos,True,corn
33,3,chewy,pos,chewy,pos,True,corn
33,4,creamy,pos,creamy,pos,True,corn
33,5,lettuce,neg,lettuce,neg,True,corn
563,1,crispy,pos,crispy,pos,True,waffle
563,2,creamy,pos,creamy,pos,True,waffle
563,3,ice cream,pos,ice cream,pos,True,waffle
563,4,mall,pos,mall,pos,True,waffle
563,5,cookie,neg,cookie,neg,True,waffle
1805,1,busy,neg,busy,neg,True,thai
1805,2,yummy,neg,yummy,neg,True,thai
1805,3,curry,neg,curry,neg,True,thai
1805,4,quick,neg,quick,neg,True,taco
1805,5,market,neg,market,neg,True,taco
32,1,potato,pos,potato,pos,True,steak
32,2,bread,neg,bread,neg,True,steak
32,3,rare,pos,rare,pos,True,steak
32,4,rib,pos,rib,pos,True,steak
32,5,dinner,pos,dinner,pos,True,steak
393,1,busy,pos,busy,pos,True,thai
393,2,yummy,neg,yummy,neg,True,thai
393,3,curry,pos,curry,pos,True,thai
393,4,spicy,pos,spicy,pos,True,thai
393,5,casual,neg,casual,neg,True,thai
1305,1,busy,neg,busy,neg,True,thai
1305,2,yummy,neg,yummy,neg,True,thai
1305,3,bbq,pos,bbq,pos,True,rib
1305,4,fried,neg,fried,neg,True,rib
1305,5,greasy,neg,greasy,neg,True,rib
129,1,spicy,neg,spicy,neg,True,ramen
129,2,egg,neg,egg,neg,True,ramen
129,3,noodle,neg,noodle,neg,True,ramen
129,4,soup,pos,soup,pos,True,ramen
129,5,salt,neg,salt,neg,True,ramen
223,1,japanese,pos,japanese,pos,True,crepe
223,2,cake,pos,cake,pos,True,crepe
223,3,strawberry,pos,strawberry,pos,True,crepe
223,4,dessert,pos,dessert,pos,True,crepe
223,5,banana,neg,banana,neg,True,crepe
2366,1,busy,neg,busy,neg,True,thai
2366,2,yummy,neg,yummy,neg,True,thai
2366,3,curry,neg,curry,neg,True,thai
2366,4,spicy,neg,spicy,neg,True,thai
2366,5,casual,neg,casual,neg,True,thai
3629,1,busy,neg,busy,neg,True,thai
3629,2,yummy,neg,yummy,neg,True,thai
3629,3,curry,neg,curry,neg,True,thai
3629,4,spicy,neg,spicy,neg,True,thai
3629,5,casual,neg,casual,neg,True,thai
278,1,wait,neg,wait,neg,True,cheesecake
278,2,mall,neg,mall,neg,True,cheesecake
278,3,store,neg,store,neg,True,cheesecake
278,4,japanese,pos,japanese,pos,True,cheesecake
278,5,cheese,pos,cheese,pos,True,cheesecake
884,1,spicy,pos,spicy,pos,True,ramen
884,2,egg,pos,egg,pos,True,ramen
884,3,noodle,pos,noodle,pos,True,ramen
884,4,soup,pos,soup,pos,True,ramen
884,5,salt,neg,salt,neg,True,ramen
2544,1,busy,neg,busy,neg,True,thai
2544,2,yummy,neg,yummy,neg,True,thai
2544,3,curry,neg,curry,neg,True,thai
2544,4,spicy,neg,spicy,neg,True,thai
2544,5,casual,neg,casual,neg,True,thai
103,1,fresh,neg,fresh,neg,True,indian
103,2,meat,pos,meat,pos,True,indian
103,3,buffet,pos,buffet,pos,True,indian
103,4,spicy,neg,spicy,neg,True,indian
103,5,lamb,neg,lamb,neg,True,indian
114,1,spicy,neg,spicy,neg,True,ramen
114,2,egg,neg,egg,neg,True,ramen
114,3,noodle,pos,noodle,pos,True,ramen
114,4,soup,neg,soup,neg,True,ramen
114,5,salt,neg,salt,neg,True,ramen
5163,1,busy,pos,busy,pos,True,thai
5163,2,yummy,neg,yummy,neg,True,thai
5163,3,curry,neg,curry,neg,True,thai
5163,4,spicy,pos,spicy,pos,True,thai
5163,5,casual,neg,casual,neg,True,thai
2503,1,spicy,pos,spicy,pos,True,ramen
2503,2,egg,pos,egg,pos,True,ramen
2503,3,noodle,pos,noodle,pos,True,ramen
2503,4,soup,pos,soup,pos,True,ramen
2503,5,salt,neg,salt,neg,True,ramen
1653,1,wing,pos,wing,pos,True,rib
1653,2,dinner,pos,dinner,pos,True,rib
1653,3,bbq,pos,bbq,pos,True,rib
1653,4,potato,neg,potato,neg,True,rib
1653,5,fried chicken,neg,fried chicken,neg,True,rib
491,1,chinese,pos,chinese,pos,True,lobster
491,2,steamed,pos,steamed,pos,True,lobster
491,3,seafood,pos,seafood,pos,True,lobster
491,4,dinner,pos,dinner,pos,True,lobster
491,5,fried,pos,fried,pos,True,lobster
2278,1,busy,neg,busy,neg,True,thai
2278,2,yummy,neg,yummy,neg,True,thai
2278,3,curry,neg,curry,neg,True,thai
2278,4,spicy,neg,spicy,neg,True,thai
2278,5,casual,neg,casual,neg,True,thai
4832,1,busy,neg,busy,neg,True,thai
4832,2,yummy,neg,yummy,neg,True,thai
4832,3,curry,neg,curry,neg,True,thai
4832,4,spicy,pos,spicy,pos,True,thai
4832,5,pork,pos,pork,pos,True,ramen
2762,1,busy,pos,busy,pos,True,thai
2762,2,yummy,pos,yummy,pos,True,thai
2762,3,curry,pos,curry,pos,True,thai
2762,4,spicy,pos,spicy,pos,True,thai
2762,5,casual,pos,casual,pos,True,thai
3720,1,busy,neg,busy,neg,True,thai
3720,2,yummy,neg,yummy,neg,True,thai
3720,3,curry,neg,curry,neg,True,thai
3720,4,spicy,neg,spicy,neg,True,thai
3720,5,casual,neg,casual,neg,True,thai
2760,1,busy,pos,busy,pos,True,thai
2760,2,yummy,pos,yummy,pos,True,thai
2760,3,curry,pos,curry,pos,True,thai
2760,4,spicy,pos,spicy,pos,True,thai
2760,5,casual,pos,casual,pos,True,thai
5546,1,chip,neg,chip,neg,True,taco
5546,2,sour,neg,sour,neg,True,taco
5546,3,mexican,pos,mexican,pos,True,taco
5546,4,tuna,pos,tuna,pos,True,taco
5546,5,octopus,pos,octopus,pos,True,taco
4529,1,spicy,pos,spicy,pos,True,ramen
4529,2,egg,pos,egg,pos,True,ramen
4529,3,noodle,pos,noodle,pos,True,ramen
4529,4,soup,pos,soup,pos,True,ramen
4529,5,salt,neg,salt,neg,True,ramen
2165,1,busy,pos,busy,pos,True,thai
2165,2,yummy,pos,yummy,pos,True,thai
2165,3,curry,pos,curry,pos,True,thai
2165,4,spicy,pos,spicy,pos,True,thai
2165,5,casual,pos,casual,pos,True,thai
1255,1,bun,pos,bun,pos,True,fry
1255,2,sausage,neg,sausage,neg,True,fry
1255,3,kimchi,pos,kimchi,pos,True,fry
1255,4,belly,pos,belly,pos,True,fry
1255,5,pork belly,pos,pork belly,pos,True,fry
3215,1,salmon,neg,salmon,neg,True,japanese
3215,2,birthday,neg,birthday,neg,True,japanese
3215,3,sashimi,neg,sashimi,neg,True,japanese
3215,4,pricey,neg,pricey,neg,True,japanese
3215,5,sushi,neg,sushi,neg,True,japanese
1754,1,pancake,pos,pancake,pos,True,dumpling
1754,2,soup,pos,soup,pos,True,dumpling
1754,3,steamed,pos,steamed,pos,True,dumpling
1754,4,dim sum,pos,dim sum,pos,True,dumpling
1754,5,pork,pos,pork,pos,True,dumpling
1992,1,curry,neg,curry,neg,True,wait
1992,2,thai,neg,thai,neg,True,wait
1992,3,busy,neg,busy,neg,True,wait
1992,4,sesame,neg,sesame,neg,True,ice cream
1992,5,spicy,neg,spicy,neg,True,wait
38,1,spicy,neg,spicy,neg,True,pork
38,2,kimchi,pos,kimchi,pos,True,pork
38,3,pork belly,pos,pork belly,pos,True,pork
38,4,meat,pos,meat,pos,True,pork
38,5,noodle,neg,noodle,neg,True,pork
6568,1,busy,pos,busy,pos,True,thai
6568,2,yummy,pos,yummy,pos,True,thai
6568,3,curry,pos,curry,pos,True,thai
6568,4,spicy,pos,spicy,pos,True,thai
6568,5,casual,pos,casual,pos,True,thai
74,1,dark,pos,dark,pos,True,burger
74,2,cheese,neg,cheese,neg,True,burger
74,3,patty,neg,patty,neg,True,burger
74,4,fried,pos,fried,pos,True,burger
74,5,bun,pos,bun,pos,True,burger
954,1,bubble tea,pos,bubble tea,pos,True,tea
954,2,tapioca,pos,tapioca,pos,True,milk
954,3,milk,pos,milk,pos,True,tea
954,4,bubble,pos,bubble,pos,True,tea
954,5,milk tea,pos,milk tea,pos,True,tea
1304,1,salmon,neg,salmon,neg,True,japanese
1304,2,birthday,pos,birthday,pos,True,japanese
1304,3,sashimi,neg,sashimi,neg,True,japanese
1304,4,pricey,neg,pricey,neg,True,japanese
1304,5,sushi,neg,sushi,neg,True,japanese
265,1,vietnamese,neg,vietnamese,neg,True,kimchi
265,2,quick,neg,quick,neg,True,kimchi
265,3,pork belly,neg,pork belly,neg,True,kimchi
265,4,mayo,neg,mayo,neg,True,kimchi
265,5,fry,pos,fry,pos,True,kimchi
338,1,bread,pos,bread,pos,True,pasta
338,2,olive,neg,olive,neg,True,pasta
338,3,italian,pos,italian,pos,True,pasta
338,4,salad,neg,salad,neg,True,pasta
338,5,tomato,pos,tomato,pos,True,pasta
2543,1,crispy,pos,crispy,pos,True,waffle
2543,2,creamy,pos,creamy,pos,True,waffle
2543,3,ice cream,pos,ice cream,pos,True,waffle
2543,4,mall,pos,mall,pos,True,waffle
2543,5,cookie,neg,cookie,neg,True,waffle
5782,1,egg,pos,egg,pos,True,pancake
5782,2,wait,pos,wait,pos,True,pancake
5782,3,fluffy,pos,fluffy,pos,True,pancake
5782,4,dumpling,neg,dumpling,neg,True,pancake
5782,5,croissant,pos,croissant,pos,True,pancake
102,1,parking,neg,parking,neg,True,dim sum
102,2,busy,pos,busy,pos,True,dim sum
102,3,chinese,pos,chinese,pos,True,dim sum
102,4,fast,pos,fast,pos,True,dim sum
102,5,shrimp,pos,shrimp,pos,True,dim sum
831,1,friendly,neg,friendly,neg,True,egg
831,2,potato,pos,potato,pos,True,egg
831,3,brunch,pos,brunch,pos,True,egg
831,4,waffle,pos,waffle,pos,True,egg
831,5,ramen,neg,ramen,neg,True,egg
2113,1,busy,neg,busy,neg,True,thai
2113,2,yummy,neg,yummy,neg,True,thai
2113,3,curry,neg,curry,neg,True,thai
2113,4,spicy,neg,spicy,neg,True,thai
2113,5,casual,neg,casual,neg,True,thai
148,1,calamari,pos,calamari,pos,True,pizza
148,2,olive,pos,olive,pos,True,pasta
148,3,pizza,pos,pizza,pos,True,pasta
148,4,dinner,pos,dinner,pos,True,pasta
148,5,tomato,neg,tomato,neg,True,pasta
736,1,spring roll,pos,spring roll,pos,True,beef
736,2,kimchi,neg,kimchi,neg,True,vietnamese
736,3,milk tea,neg,milk tea,neg,True,vietnamese
736,4,quick,pos,quick,pos,True,vietnamese
736,5,sesame,neg,sesame,neg,True,vietnamese
310,1,fry,pos,fry,pos,True,beer
310,2,bar,pos,bar,pos,True,beer
310,3,wild boar,neg,wild boar,neg,True,beer
310,4,pub,neg,pub,neg,True,beer
310,5,dog,neg,dog,neg,True,beer
6736,1,busy,pos,busy,pos,True,thai
6736,2,yummy,neg,yummy,neg,True,thai
6736,3,curry,pos,curry,pos,True,thai
6736,4,spicy,pos,spicy,pos,True,thai
6736,5,casual,neg,casual,neg,True,thai
4369,1,busy,neg,busy,neg,True,thai
4369,2,yummy,neg,yummy,neg,True,thai
4369,3,curry,neg,curry,neg,True,thai
4369,4,spicy,neg,spicy,neg,True,thai
4369,5,fry,pos,fry,pos,True,poutine
4283,1,busy,neg,busy,neg,True,thai
4283,2,yummy,neg,yummy,neg,True,thai
4283,3,curry,neg,curry,neg,True,thai
